name,adress,phone,points in russian,points in computer science,points in mathematics,points in physics,social science,year of admission,major
Чичиков Иван,"г. Брянск, ул.Новая, д. 16",+7(909)-853-3072,98,48,49,73,70,2017,Прикладная математика и информатика
Ларина Дина,"Брянская область, г.Дятьково, ул. Ленина, д. 8",+7(964)-094-1614,66,46,98,75,64,2010,Математика
Орлова Марина,"Орловская область, г.Ливны, ул.Революции, д. 36",+7(906)-763-2420,62,44,97,74,65,2020,Статистика
Сергеев Федор,"Брянская область, г.Клинцы, ул.Революции, д. 2А",+7(950)-243-8385,76,61,58,92,43,2021,Прикладная математика и информатика
Николаев Андрей,"г. Брянск, ул.Гагарина, д. 66",+7(922)-948-6274,62,65,49,71,62,2021,Физика
Латышев Олег,"Брянская область, г.Клинцы, ул.Новая, д. 58",+7(900)-791-8697,70,41,72,64,57,2019,Статистика
Латышев Иван,"Орловская область, г.Мценск, ул.Центральная, д. 25",+7(952)-199-6986,80,96,79,42,95,2012,Прикладная математика и информатика
Уварова Анна,"Орловская область, г.Дмитровск, ул.Новая, д. 31",+7(969)-582-7799,58,64,88,87,66,2014,Статистика
Уварова Мария,"г.Орёлул. Ленина, д. 28",+7(953)-970-1803,55,86,56,82,64,2018,Прикладная информатика
Иванов Сергей,"г. Курск, ул.Октябрьская, д. 5",+7(909)-941-6328,85,78,40,68,77,2013,Прикладная математика и информатика
Зотова Лина,"Брянская область, г.Дятьково, ул.Центральная, д. 17",+7(925)-936-3674,43,62,57,95,90,2020,Физика
Иванов Олег,"Брянская область, г.Фокино, ул. Ленина, д. 11",+7(968)-457-5040,59,74,41,95,99,2021,Статистика
Васильева Алиса,"Орловская область, г.Мценск, ул.Центральная, д. 48",+7(931)-857-4684,73,71,42,90,88,2018,Прикладная информатика
Воронцова Дина,"Брянская область, г.Жуковка, ул.Гагарина, д. 4",+7(919)-869-5218,94,58,39,48,68,2022,Статистика
Картамышев Владимир,"Брянская область, г.Фокино, ул.Новая, д. 11",+7(988)-050-8005,93,50,47,80,46,2022,Математика
Кочергин Сергей,"Орловская область, г.Мценск, ул.Революции, д. 50",+7(934)-891-2128,88,66,75,82,69,2021,Прикладная информатика
Ермолаев Илья,"Брянская область, г.Карачев, ул.Новая, д. 2",+7(969)-042-6556,89,43,98,54,56,2019,Статистика
Картамышев Владислав,"г.Орёлул.Революции, д. 66",+7(921)-709-3990,61,86,67,78,82,2018,Физика
Платова Анастасия,"Орловская область, г.Болхов, ул.Центральная, д. 50",+7(951)-856-2496,81,72,79,55,39,2013,Прикладная информатика
Платова Алисия,"Орловская область, г.Дмитровск, ул.Гагарина, д. 1",+7(909)-421-7060,96,65,76,41,86,2021,Прикладная математика и информатика
Коровьев Сергей,"г. Брянск, ул.Гагарина, д. 62Ь",+7(963)-565-5861,51,92,87,50,73,2022,Физика
Розова Лина,"Орловская область, г.Ливны, ул. Ленина, д. 66",+7(906)-763-2420,85,71,78,51,51,2017,Педагогическое образование
Воронцова Марина,"Орловская область, г.Болхов, ул.Новая, д. 24",+7(995)-927-4945,65,90,46,50,44,2022,Педагогическое образование
Воронцова Аделина,"Брянская область, г.Клинцы, ул.Новая, д. 8С",+7(968)-373-0589,82,91,48,56,96,2019,Статистика
Чичиков Константин,"г.Орёлул.Гагарина, д. 53",+7(903)-591-9048,42,89,39,73,67,2014,Математика
Панина Дина,"г. Курск, ул.Октябрьская, д. 23",+7(953)-722-1745,77,82,74,87,94,2014,Статистика
Орлова Мария,"Брянская область, г.Дятьково, ул.Гагарина, д. 0",+7(950)-792-4916,89,92,62,47,93,2018,Физика
Картамышев Алексей,"Брянская область, г.Дятьково, ул.Гагарина, д. 55",+7(914)-678-6132,47,50,48,39,95,2010,Физика
Лозовский Алексей,"Брянская область, г.Карачев, ул.Революции, д. 19",+7(916)-245-7925,79,55,61,40,98,2022,Прикладная математика и информатика
Зотова Мария,"Орловская область, г.Ливны, ул.Гагарина, д. 38",+7(908)-373-2384,53,67,67,53,39,2013,Математика
Орлова Лилия,"Орловская область, г.Ливны, ул.Центральная, д. 32",+7(963)-380-0635,44,64,93,51,68,2022,Физика
Зотова Дина,"Брянская область, г.Дятьково, ул.Гагарина, д. 38",+7(966)-815-2109,82,95,87,50,58,2017,Педагогическое образование
Кочергин Федор,"г.Орёлул.Гагарина, д. 4",+7(912)-752-4027,61,53,76,94,52,2018,Прикладная математика и информатика
Николаев Владимир,"г.Орёлул.Гагарина, д. 46",+7(953)-970-1803,72,72,90,52,90,2017,Прикладная математика и информатика
Муравьев Федор,"Брянская область, г.Клинцы, ул.Революции, д. 55",+7(983)-468-1568,64,64,82,66,50,2014,Физика
Кочергин Владимир,"Брянская область, г.Карачев, ул.Октябрьская, д. 32",+7(978)-658-4558,51,71,75,41,93,2013,Прикладная информатика
Орлова Алиса,"г.Орёлул.Октябрьская, д. 62",+7(964)-917-3523,69,74,98,76,58,2011,Математика
Орлова Дина,"Брянская область, г.Фокино, ул.Центральная, д. 66",+7(917)-262-3611,83,84,99,82,93,2021,Педагогическое образование
Орлова Лилия,"Орловская область, г.Болхов, ул.Гагарина, д. 66",+7(999)-223-1737,67,79,88,87,60,2013,Педагогическое образование
Розова Анна,"г. Курск, ул.Революции, д. 42",+7(901)-178-6225,51,96,67,84,58,2021,Математика
Уварова Анастасия,"Брянская область, г.Дятьково, ул.Революции, д. 67",+7(929)-302-3945,39,94,48,68,96,2010,Статистика
Петров Илья,"Орловская область, г.Дмитровск, ул.Новая, д. 7",+7(927)-757-6863,86,49,86,98,61,2017,Физика
Розова Аделина,"Орловская область, г.Ливны, ул.Октябрьская, д. 2",+7(983)-628-2810,61,53,59,39,41,2020,Прикладная математика и информатика
Николаев Владислав,"Брянская область, г.Клинцы, ул.Гагарина, д. 15",+7(978)-538-2480,72,48,54,64,95,2016,Математика
Панина Диана,"Брянская область, г.Жуковка, ул.Центральная, д. 8",+7(929)-219-7136,46,47,87,79,73,2012,Педагогическое образование
Панина Диана,"г. Брянск, ул.Центральная, д. 37",+7(904)-662-1553,39,58,45,73,46,2011,Математика
Сидоров Юрий,"Орловская область, г.Мценск, ул.Центральная, д. 32",+7(950)-369-6770,89,95,81,70,97,2020,Математика
Лозовский Лев,"г. Курск, ул.Октябрьская, д. 17",+7(985)-247-6859,65,96,90,81,68,2013,Физика
Ферзен Анастасия,"Брянская область, г.Клинцы, ул.Новая, д. 33",+7(906)-172-3951,92,62,59,53,60,2020,Математика
Уварова Лилия,"г. Брянск, ул. Ленина, д. 52Л",+7(964)-094-1614,81,58,81,93,67,2022,Прикладная информатика
Латышев Юрий,"Орловская область, г.Болхов, ул.Революции, д. 39",+7(981)-996-0978,46,47,42,46,63,2016,Прикладная информатика
Картамышев Илья,"Орловская область, г.Дмитровск, ул.Революции, д. 39",+7(925)-314-4111,51,59,96,65,74,2012,Педагогическое образование
Петров Константин,"Брянская область, г.Карачев, ул.Октябрьская, д. 50",+7(964)-978-6800,55,61,83,73,46,2010,Прикладная информатика
Сазонова Юлия,"Орловская область, г.Ливны, ул.Революции, д. 23",+7(936)-293-4461,40,91,46,43,53,2017,Физика
Розова Дина,"Брянская область, г.Клинцы, ул.Гагарина, д. 39",+7(989)-485-8281,94,52,93,63,42,2014,Математика
Ларина Алиса,"Брянская область, г.Жуковка, ул. Ленина, д. 48",+7(905)-988-4667,99,40,80,82,41,2010,Статистика
Иванов Лев,"г. Брянск, ул.Революции, д. 62",+7(920)-740-2427,94,79,43,60,52,2019,Физика
Платова Алиса,"Брянская область, г.Дятьково, ул.Новая, д. 12",+7(903)-461-5839,55,68,86,49,68,2015,Прикладная математика и информатика
Кочергин Андрей,"г. Курск, ул.Революции, д. 42Ш",+7(926)-056-3226,45,74,83,99,89,2014,Физика
Платова Аделина,"Орловская область, г.Дмитровск, ул.Революции, д. 39",+7(928)-629-5817,96,58,93,56,47,2018,Прикладная информатика
Салтыкова Лина,"Брянская область, г.Фокино, ул.Гагарина, д. 33",+7(922)-615-0810,92,80,73,52,58,2019,Прикладная математика и информатика
Николаев Сергей,"Брянская область, г.Дятьково, ул.Новая, д. 42",+7(984)-886-3439,91,76,60,55,87,2020,Физика
Платова Лина,"Брянская область, г.Жуковка, ул.Новая, д. 10",+7(912)-078-9115,77,70,67,90,88,2011,Прикладная информатика
Сазонова Анна,"г. Брянск, ул.Центральная, д. 26Г",+7(920)-970-9735,81,58,85,92,50,2021,Физика
Зотова Анна,"г.Орёлул.Революции, д. 63",+7(903)-313-5275,50,74,54,83,39,2016,Педагогическое образование
Мышкин Сергей,"г. Курск, ул.Новая, д. 2З",+7(925)-303-7070,40,75,75,71,43,2016,Физика
Картамышев Владимир,"Брянская область, г.Фокино, ул.Центральная, д. 16",+7(930)-747-7142,77,88,74,56,90,2019,Прикладная информатика
Салтыкова Милена,"Брянская область, г.Жуковка, ул.Новая, д. 61",+7(904)-319-6215,98,54,70,82,85,2012,Статистика
Зотова Арина,"Брянская область, г.Карачев, ул.Гагарина, д. 30",+7(982)-164-1580,83,51,56,74,97,2015,Прикладная информатика
Петров Константин,"г.Орёлул.Революции, д. 8",+7(930)-566-1137,82,95,92,87,79,2013,Физика
Платова Арина,"г. Курск, ул.Гагарина, д. 63",+7(928)-629-5817,41,68,60,95,71,2017,Физика
Розова Диана,"г. Курск, ул. Ленина, д. 61",+7(925)-547-1479,79,68,57,91,46,2022,Прикладная информатика
Салтыкова Дина,"Брянская область, г.Фокино, ул.Октябрьская, д. 8",+7(921)-709-3990,55,62,55,78,79,2017,Прикладная математика и информатика
Орлова Алисия,"Брянская область, г.Клинцы, ул.Новая, д. 45Ж",+7(985)-537-6966,89,91,80,65,58,2014,Статистика
Николаев Юрий,"г.Орёлул.Новая, д. 37",+7(904)-589-7213,47,63,97,43,96,2018,Педагогическое образование
Николаев Федор,"Орловская область, г.Болхов, ул.Центральная, д. 35",+7(963)-015-7866,54,93,96,52,76,2019,Педагогическое образование
Муравьев Иван,"Орловская область, г.Ливны, ул.Революции, д. 37",+7(904)-319-6215,98,92,56,40,61,2016,Прикладная математика и информатика
Панина Аделина,"Орловская область, г.Мценск, ул.Революции, д. 48",+7(914)-422-2549,63,45,77,52,98,2018,Статистика
Сергеев Алексей,"Брянская область, г.Карачев, ул.Октябрьская, д. 4",+7(903)-292-4675,81,64,51,93,70,2022,Прикладная информатика
Орлова Дина,"г.Орёлул.Гагарина, д. 57",+7(965)-807-4075,64,86,53,62,74,2018,Физика
Зотова Милена,"Орловская область, г.Мценск, ул.Революции, д. 32Э",+7(900)-791-8602,64,49,80,61,75,2014,Прикладная информатика
Панина Лина,"Брянская область, г.Дятьково, ул. Ленина, д. 27",+7(927)-038-2402,65,98,82,89,39,2014,Статистика
Чичиков Владимир,"г. Брянск, ул.Гагарина, д. 55О",+7(981)-479-1164,57,50,58,84,84,2018,Прикладная информатика
Картамышев Олег,"Брянская область, г.Карачев, ул.Центральная, д. 27",+7(903)-032-0308,54,49,76,85,87,2018,Педагогическое образование
Петров Владимир,"Брянская область, г.Дятьково, ул. Ленина, д. 64",+7(904)-735-3832,40,40,95,79,71,2013,Прикладная информатика
Муравьев Андрей,"Брянская область, г.Клинцы, ул.Новая, д. 20",+7(908)-062-8812,98,57,75,39,86,2016,Педагогическое образование
Сергеев Роман,"г.Орёлул.Новая, д. 9",+7(993)-490-3422,60,97,48,42,59,2012,Прикладная математика и информатика
Васильева Анастасия,"Брянская область, г.Клинцы, ул.Гагарина, д. 58",+7(993)-888-7948,42,69,52,63,46,2018,Физика
Орлова Мария,"Орловская область, г.Болхов, ул.Гагарина, д. 0К",+7(919)-143-2942,44,69,65,82,51,2019,Прикладная информатика
Мышкин Николай,"г.Орёлул.Октябрьская, д. 3",+7(922)-122-3980,97,86,96,88,64,2016,Статистика
Чичиков Федор,"г. Курск, ул.Октябрьская, д. 44",+7(958)-390-1591,53,64,57,92,87,2010,Прикладная информатика
Иванов Роман,"г. Брянск, ул.Гагарина, д. 58",+7(901)-178-6225,52,86,55,59,78,2022,Педагогическое образование
Ферзен Арина,"г. Брянск, ул.Революции, д. 9",+7(928)-721-4170,56,55,92,47,55,2016,Математика
Муравьев Андрей,"Брянская область, г.Фокино, ул.Октябрьская, д. 13",+7(952)-326-0667,59,67,49,90,71,2019,Прикладная информатика
Зотова Анастасия,"Брянская область, г.Карачев, ул.Октябрьская, д. 27",+7(950)-611-5246,70,73,87,97,39,2018,Прикладная математика и информатика
Ермолаев Константин,"Брянская область, г.Клинцы, ул.Новая, д. 19",+7(951)-854-9461,73,92,72,58,46,2022,Прикладная математика и информатика
Панина Лина,"г.Орёлул.Гагарина, д. 17Щ",+7(903)-946-8011,94,41,95,63,62,2017,Статистика
Муравьев Николай,"Орловская область, г.Мценск, ул.Октябрьская, д. 30",+7(928)-484-9043,76,99,66,58,78,2018,Математика
Кочергин Владислав,"Брянская область, г.Клинцы, ул.Гагарина, д. 62",+7(928)-629-5817,48,67,83,77,97,2018,Прикладная математика и информатика
Лозовский Юрий,"Брянская область, г.Фокино, ул.Революции, д. 67",+7(913)-677-0828,63,47,57,51,45,2014,Статистика
Сергеев Иван,"Орловская область, г.Болхов, ул.Революции, д. 32",+7(995)-119-8915,44,60,42,97,60,2010,Физика
Платова Лина,"Брянская область, г.Жуковка, ул.Революции, д. 29",+7(980)-590-9209,43,50,94,96,74,2019,Математика
Мышкин Николай,"Орловская область, г.Болхов, ул. Ленина, д. 39",+7(918)-663-4274,49,55,65,61,44,2010,Статистика
Мышкин Андрей,"г.Орёлул. Ленина, д. 36",+7(978)-658-4558,87,83,74,85,58,2010,Математика
Лозовский Алексей,"Брянская область, г.Жуковка, ул.Центральная, д. 41",+7(933)-328-9771,43,93,39,73,79,2010,Педагогическое образование
Салтыкова Милена,"г. Курск, ул.Новая, д. 67А",+7(952)-326-0667,80,93,39,58,88,2014,Статистика
Мышкин Юрий,"Брянская область, г.Фокино, ул.Новая, д. 16",+7(988)-960-2413,45,50,45,78,62,2018,Физика
Ларина Мария,"г.Орёлул.Октябрьская, д. 41",+7(980)-257-1208,89,50,84,39,54,2011,Педагогическое образование
Латышев Олег,"Орловская область, г.Ливны, ул.Октябрьская, д. 24",+7(937)-212-9103,52,48,84,62,68,2013,Педагогическое образование
Сазонова Анастасия,"Орловская область, г.Мценск, ул.Новая, д. 31",+7(927)-757-6863,82,95,81,64,45,2010,Статистика
Ларина Лилия,"Орловская область, г.Мценск, ул.Революции, д. 1",+7(999)-179-1611,54,57,85,62,80,2011,Статистика
Картамышев Иван,"г. Брянск, ул.Гагарина, д. 54",+7(995)-154-0608,58,53,41,39,68,2013,Прикладная математика и информатика
Чичиков Илья,"Орловская область, г.Мценск, ул.Гагарина, д. 54",+7(982)-105-8753,55,96,83,81,91,2018,Прикладная информатика
Ферзен Аделина,"Орловская область, г.Дмитровск, ул. Ленина, д. 33",+7(936)-639-2899,64,69,66,92,80,2010,Физика
Сазонова Марина,"г. Курск, ул.Гагарина, д. 53",+7(904)-735-3832,84,75,46,83,49,2022,Статистика
Салтыкова Алиса,"Брянская область, г.Карачев, ул. Ленина, д. 25",+7(920)-455-5643,46,55,42,40,55,2022,Физика
Лозовский Владимир,"Брянская область, г.Карачев, ул.Революции, д. 61",+7(918)-556-6399,40,66,71,80,52,2015,Математика
Иванов Константин,"Брянская область, г.Дятьково, ул.Октябрьская, д. 7",+7(923)-479-1068,64,80,80,54,83,2013,Статистика
Платова Лина,"Брянская область, г.Клинцы, ул.Гагарина, д. 18",+7(953)-722-1745,72,70,93,66,58,2012,Прикладная математика и информатика
Сергеев Олег,"Орловская область, г.Мценск, ул. Ленина, д. 29",+7(991)-322-5655,74,68,81,60,99,2011,Физика
Чичиков Иван,"г.Орёлул.Октябрьская, д. 9",+7(991)-009-8185,80,85,81,69,72,2016,Педагогическое образование
Сазонова Дина,"Орловская область, г.Ливны, ул.Октябрьская, д. 35",+7(905)-155-1241,67,95,75,54,55,2012,Статистика
Розова Алиса,"Брянская область, г.Жуковка, ул.Октябрьская, д. 40",+7(964)-265-3885,39,54,57,41,82,2016,Прикладная информатика
Ферзен Дина,"Брянская область, г.Жуковка, ул. Ленина, д. 22",+7(925)-548-3427,80,78,89,43,50,2010,Статистика
Зотова Дина,"Орловская область, г.Дмитровск, ул.Новая, д. 5",+7(978)-746-8617,98,85,82,94,91,2011,Математика
Лозовский Олег,"г. Брянск, ул. Ленина, д. 15",+7(985)-154-3895,43,92,43,64,85,2021,Статистика
Васильева Алиса,"Брянская область, г.Клинцы, ул. Ленина, д. 28",+7(928)-163-4292,67,63,73,73,79,2016,Педагогическое образование
Кочергин Роман,"Брянская область, г.Карачев, ул. Ленина, д. 41",+7(932)-021-9593,76,41,67,63,69,2022,Прикладная информатика
Платова Дина,"Орловская область, г.Ливны, ул. Ленина, д. 55",+7(929)-660-8805,99,57,64,45,88,2019,Прикладная информатика
Платова Диана,"Брянская область, г.Фокино, ул.Гагарина, д. 20",+7(958)-505-6107,51,49,43,69,70,2010,Прикладная информатика
Уварова Алисия,"Брянская область, г.Фокино, ул. Ленина, д. 5",+7(931)-251-7455,43,50,84,61,48,2014,Математика
Воронцова Арина,"г.Орёлул.Революции, д. 23",+7(993)-490-3422,63,62,90,43,81,2016,Математика
Воронцова Арина,"Орловская область, г.Ливны, ул.Гагарина, д. 12",+7(958)-505-6107,63,98,51,68,60,2010,Прикладная информатика
Коровьев Алексей,"г. Курск, ул.Октябрьская, д. 57",+7(903)-032-0308,40,65,82,76,59,2017,Физика
Петров Константин,"Орловская область, г.Дмитровск, ул.Новая, д. 66",+7(962)-237-1590,89,57,56,83,97,2011,Статистика
Кочергин Олег,"Орловская область, г.Ливны, ул.Центральная, д. 21Т",+7(989)-018-3610,82,40,90,39,61,2022,Педагогическое образование
Ферзен Дина,"г. Брянск, ул. Ленина, д. 30",+7(923)-310-7332,70,97,56,98,69,2017,Статистика
Сергеев Владислав,"Брянская область, г.Карачев, ул.Центральная, д. 17У",+7(931)-210-7865,86,90,54,67,96,2013,Физика
Коровьев Владислав,"г. Брянск, ул. Ленина, д. 64",+7(966)-351-2992,93,61,53,74,54,2012,Статистика
Ермолаев Николай,"Брянская область, г.Клинцы, ул.Центральная, д. 8",+7(962)-534-2628,99,52,69,69,50,2022,Прикладная математика и информатика
Воронцова Алиса,"Орловская область, г.Дмитровск, ул.Новая, д. 45",+7(918)-663-4274,62,76,83,90,77,2019,Педагогическое образование
Коровьев Федор,"Брянская область, г.Клинцы, ул.Центральная, д. 31",+7(969)-883-5919,83,67,86,91,97,2019,Прикладная информатика
Панина Аделина,"Брянская область, г.Жуковка, ул.Революции, д. 26",+7(921)-868-1568,40,75,92,55,88,2011,Физика
Иванов Владимир,"Брянская область, г.Карачев, ул. Ленина, д. 5",+7(922)-202-7237,60,72,93,97,44,2011,Статистика
Коровьев Константин,"г. Брянск, ул.Гагарина, д. 19",+7(929)-922-5747,93,70,84,55,46,2022,Прикладная информатика
Орлова Диана,"Брянская область, г.Фокино, ул.Гагарина, д. 4Б",+7(931)-251-7455,41,96,58,76,48,2019,Физика
Муравьев Сергей,"Орловская область, г.Ливны, ул.Октябрьская, д. 1",+7(906)-170-6611,50,75,50,46,83,2019,Физика
Петров Николай,"Брянская область, г.Жуковка, ул.Гагарина, д. 6",+7(936)-639-2899,50,95,74,56,64,2011,Прикладная математика и информатика
Ларина Юлия,"Брянская область, г.Жуковка, ул. Ленина, д. 22",+7(994)-979-2578,80,76,63,91,96,2014,Физика
Лозовский Владислав,"Брянская область, г.Дятьково, ул.Октябрьская, д. 16",+7(938)-444-0834,53,41,95,67,43,2012,Статистика
Муравьев Иван,"Орловская область, г.Мценск, ул. Ленина, д. 31",+7(980)-313-2696,56,94,51,45,86,2021,Математика
Орлова Анна,"г. Курск, ул.Революции, д. 59",+7(923)-476-9367,48,49,77,75,79,2016,Прикладная информатика
Орлова Юлия,"г. Курск, ул.Центральная, д. 66",+7(958)-505-6107,48,56,43,49,41,2022,Математика
Васильева Мария,"Брянская область, г.Карачев, ул. Ленина, д. 14",+7(978)-746-8617,69,61,94,58,60,2016,Физика
Муравьев Владимир,"Орловская область, г.Болхов, ул.Новая, д. 57",+7(953)-000-2203,71,94,75,55,48,2013,Педагогическое образование
Рябинина Арина,"Орловская область, г.Мценск, ул.Новая, д. 15",+7(992)-694-1860,52,93,70,57,54,2011,Прикладная информатика
Кочергин Иван,"Брянская область, г.Фокино, ул.Революции, д. 21",+7(961)-676-2227,88,50,79,85,73,2020,Прикладная математика и информатика
Зотова Милена,"г. Брянск, ул.Новая, д. 5",+7(922)-202-7237,71,79,51,80,49,2018,Педагогическое образование
Латышев Лев,"г. Брянск, ул.Центральная, д. 4",+7(999)-690-8231,70,55,52,80,47,2019,Статистика
Николаев Иван,"Брянская область, г.Фокино, ул. Ленина, д. 33",+7(920)-523-7991,50,63,70,93,64,2013,Прикладная информатика
Ермолаев Федор,"г. Курск, ул.Новая, д. 60",+7(960)-213-3755,45,55,95,74,61,2013,Прикладная информатика
Сазонова Арина,"Брянская область, г.Жуковка, ул.Гагарина, д. 5",+7(985)-555-3999,64,91,91,87,71,2019,Педагогическое образование
Мышкин Юрий,"Брянская область, г.Карачев, ул. Ленина, д. 23Х",+7(999)-722-0083,72,69,66,72,60,2011,Педагогическое образование
Мышкин Владислав,"Брянская область, г.Жуковка, ул.Революции, д. 64",+7(904)-887-2173,84,49,99,41,49,2018,Математика
Сергеев Олег,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 21",+7(984)-183-2068,81,87,62,57,48,2011,Математика
Панина Алиса,"Орловская область, г.Мценск, ул.Центральная, д. 22",+7(903)-946-8011,42,70,39,42,57,2013,Статистика
Латышев Лев,"г.Орёлул.Центральная, д. 54",+7(987)-987-1235,39,90,78,53,86,2014,Педагогическое образование
Петров Илья,"Орловская область, г.Болхов, ул.Гагарина, д. 21",+7(982)-783-3063,42,47,48,41,85,2021,Педагогическое образование
Мышкин Алексей,"Брянская область, г.Клинцы, ул. Ленина, д. 47",+7(963)-027-8670,88,52,76,73,50,2011,Математика
Сидоров Андрей,"Брянская область, г.Жуковка, ул.Гагарина, д. 43",+7(980)-382-7077,94,89,40,48,85,2010,Математика
Панина Лина,"Брянская область, г.Дятьково, ул.Революции, д. 28",+7(992)-375-4427,80,64,83,46,82,2022,Прикладная информатика
Лозовский Юрий,"Брянская область, г.Дятьково, ул. Ленина, д. 35",+7(921)-995-8723,99,69,53,78,93,2014,Математика
Рябинина Лилия,"Орловская область, г.Ливны, ул.Центральная, д. 13",+7(927)-041-6621,84,90,59,63,71,2014,Прикладная информатика
Сазонова Дина,"Брянская область, г.Клинцы, ул.Октябрьская, д. 52",+7(977)-818-2539,56,49,58,93,91,2019,Педагогическое образование
Сазонова Дина,"Орловская область, г.Ливны, ул.Гагарина, д. 2",+7(985)-494-2033,46,67,95,87,71,2021,Прикладная информатика
Лозовский Николай,"Брянская область, г.Дятьково, ул.Новая, д. 29",+7(992)-461-2567,90,82,61,77,46,2011,Статистика
Муравьев Юрий,"Брянская область, г.Фокино, ул.Гагарина, д. 62",+7(964)-360-6703,41,75,55,65,87,2015,Математика
Сазонова Арина,"Брянская область, г.Дятьково, ул.Гагарина, д. 64",+7(913)-959-4075,95,55,61,81,53,2020,Прикладная математика и информатика
Зотова Юлия,"Брянская область, г.Фокино, ул.Революции, д. 1",+7(915)-004-4329,99,56,56,95,39,2012,Педагогическое образование
Рябинина Лина,"г.Орёлул.Гагарина, д. 44",+7(992)-296-2280,66,92,98,44,83,2014,Статистика
Чичиков Иван,"Орловская область, г.Мценск, ул. Ленина, д. 47",+7(994)-993-3531,94,42,45,92,75,2018,Статистика
Ларина Юлия,"Орловская область, г.Болхов, ул.Октябрьская, д. 0",+7(953)-712-3453,60,79,72,98,40,2012,Прикладная информатика
Латышев Сергей,"г.Орёлул.Революции, д. 58",+7(950)-032-9701,50,72,80,61,85,2010,Прикладная математика и информатика
Латышев Константин,"г. Брянск, ул.Новая, д. 22",+7(918)-592-1216,64,46,86,78,66,2013,Прикладная математика и информатика
Салтыкова Анастасия,"Орловская область, г.Дмитровск, ул.Октябрьская, д. 4Ы",+7(908)-542-6699,89,51,65,88,71,2015,Педагогическое образование
Платова Арина,"Брянская область, г.Дятьково, ул. Ленина, д. 61",+7(921)-586-0038,84,94,77,92,53,2019,Педагогическое образование
Петров Владимир,"г.Орёлул.Октябрьская, д. 30",+7(992)-296-2280,39,45,67,62,65,2017,Статистика
Сазонова Марина,"Брянская область, г.Фокино, ул.Гагарина, д. 33",+7(917)-779-6312,69,67,88,63,94,2018,Физика
Сазонова Арина,"Брянская область, г.Клинцы, ул.Революции, д. 2",+7(934)-531-2867,87,61,88,44,59,2010,Прикладная математика и информатика
Николаев Владимир,"Орловская область, г.Дмитровск, ул.Новая, д. 18",+7(969)-042-6556,82,82,63,43,99,2014,Математика
Лозовский Илья,"Орловская область, г.Ливны, ул.Гагарина, д. 67",+7(984)-886-3439,59,60,74,79,70,2011,Математика
Уварова Милена,"Брянская область, г.Дятьково, ул.Революции, д. 20",+7(920)-548-7238,80,67,64,83,75,2018,Педагогическое образование
Мышкин Владислав,"Орловская область, г.Ливны, ул.Октябрьская, д. 32",+7(911)-613-1064,86,60,48,69,50,2016,Физика
Панина Алисия,"Орловская область, г.Болхов, ул.Революции, д. 45",+7(978)-538-2480,94,57,72,63,75,2013,Математика
Николаев Владислав,"Орловская область, г.Дмитровск, ул.Революции, д. 63",+7(958)-284-8021,58,97,57,46,50,2016,Прикладная математика и информатика
Сергеев Роман,"Брянская область, г.Карачев, ул.Новая, д. 39",+7(960)-211-0875,75,60,91,77,86,2017,Физика
Воронцова Мария,"г. Брянск, ул.Гагарина, д. 67Т",+7(903)-104-1344,71,47,69,61,59,2016,Физика
Салтыкова Диана,"Брянская область, г.Клинцы, ул.Новая, д. 32",+7(950)-369-6770,59,86,77,44,69,2017,Педагогическое образование
Сазонова Марина,"Брянская область, г.Дятьково, ул.Гагарина, д. 55",+7(909)-808-5245,57,40,51,68,52,2021,Физика
Лозовский Владислав,"Орловская область, г.Мценск, ул.Октябрьская, д. 40",+7(919)-364-6998,94,75,98,70,98,2021,Педагогическое образование
Николаев Илья,"Брянская область, г.Дятьково, ул.Революции, д. 28",+7(905)-048-7284,62,42,73,79,87,2018,Математика
Васильева Арина,"Орловская область, г.Ливны, ул.Революции, д. 55",+7(939)-900-6254,75,46,78,85,92,2016,Математика
Ферзен Лина,"Брянская область, г.Карачев, ул. Ленина, д. 47",+7(926)-041-8700,91,85,61,50,54,2021,Прикладная математика и информатика
Чичиков Илья,"г.Орёлул. Ленина, д. 52Ь",+7(983)-419-9077,56,86,92,99,41,2020,Физика
Розова Алисия,"Орловская область, г.Мценск, ул.Центральная, д. 49",+7(950)-780-9778,40,42,51,84,91,2014,Прикладная математика и информатика
Розова Юлия,"Орловская область, г.Мценск, ул.Гагарина, д. 68О",+7(929)-031-8430,73,45,85,88,67,2022,Прикладная математика и информатика
Сидоров Иван,"г. Брянск, ул. Ленина, д. 48",+7(986)-012-6571,92,40,45,98,68,2015,Математика
Зотова Анна,"Орловская область, г.Ливны, ул.Новая, д. 34",+7(966)-477-9218,66,63,44,59,55,2017,Статистика
Салтыкова Анна,"Брянская область, г.Карачев, ул.Революции, д. 66",+7(950)-369-6770,62,61,72,67,45,2017,Прикладная математика и информатика
Муравьев Владислав,"Брянская область, г.Клинцы, ул.Революции, д. 13",+7(983)-055-8683,98,87,95,82,55,2016,Физика
Сидоров Юрий,"г. Брянск, ул.Центральная, д. 42",+7(953)-846-5754,99,96,45,88,61,2016,Педагогическое образование
Петров Иван,"г. Курск, ул.Революции, д. 53",+7(914)-077-2977,86,93,81,58,88,2019,Педагогическое образование
